ROUGES;Region;Sous-Region;AOC/AOP;Cepage;Annee;Quantite;Latitude;Longitude;Hex;Note
Chateau Yveline;Bordeaux;Libournais;Lalande - Pomerol;;2016;2;44.948576;-0.189602;#E4B4E0;
Chateau Yveline;Bordeaux;Libournais;Lalande - Pomerol;;2017;7;44.978576;-0.159602;#DFA4DA;
Chateau Yveline;Bordeaux;Libournais;Lalande - Pomerol;;2018;11;44.978576;-0.189602;#D586CE;
Chateau Yveline;Bordeaux;Libournais;Lalande - Pomerol;;2020;12;44.948576;-0.159602;#CF77C8;
Chateau Haut Marbuzet;Bordeaux;Medoc;Saint Estephe;;2016;3;45.239046;-0.770445;#56282D;
Chateau Haut Marbuzet;Bordeaux;Medoc;Saint Estephe;;2017;14;45.269046;-0.770445;#7E3A42;
Chateau Haut Marbuzet;Bordeaux;Medoc;Saint Estephe;;2018;10;45.239046;-0.800445;#9A4750;
Chateau Haut Marbuzet;Bordeaux;Medoc;Saint Estephe;;2019;10;45.269046;-0.800445;#B25762;
Chateau Haut Marbuzet;Bordeaux;Medoc;Saint Estephe;;2020;12;45.209046;-0.770445;#BF737C;
Chateau Lusseau;Bordeaux;Graves;Graves;;2019;12;44.692158;-0.480541;#B7C15C;
Chateau Lusseau;Bordeaux;Graves;Graves;;2020;10;44.662158;-0.480541;#C4CD7A;
Clement Pichon;Bordeaux;Medoc;Haut Medoc;;2015;2;44.941486;-0.600504;#555358;
Chateau de Marsan;Bordeaux;Entre 2 Mers;Bordeaux Superieur;0.8 merlot 0.2 cabernet sauv;2018;20;44.696140;-0.381156;#3D3B3F;
Chateu Cartier;Bordeaux;Libournais;Saint Emilion;merlot;2017;5;44.903769;-0.159381;#38618C;Bien
Chateu Cartier;Bordeaux;Libournais;Saint Emilion;merlot;2019;24;44.933769;-0.159381;#4679AF;
Chateau le Grand Moulin;Bordeaux;Blayais;Blaye - Cote de Bordeaux;;2018;2;45.263812;-0.558679;#FFE74C;
Chateau La Grave;Bordeaux;Libournais;Pomerol;0.85 merlot, 0.15 cabernet franc;2018;10;44.938766;-0.206141;#FF5964;
Chateau Chambert Marbuzet;Bordeaux;Medoc;Saint Estephe;;2020;12;45.236383;-0.752089;#CCB100;
Chateau Chambert Marbuzet;Bordeaux;Medoc;Saint Estephe;;2011;1;45.249383;-0.752089;#F5D400;
Chateau Chaigneau;Bordeaux;Libournais;Lalande - Pomerol;;2018;5;44.941174;-0.164936;#FF0A1B;
Chateau Vieille Tour Montagne;Bordeaux;Libournais;Montagne Saint Emilion;;2019;11;44.928351;-0.128122;#BF4AA2;
Chateau Belair;Bordeaux;Graves;Graves;;2020;5;44.980089;-0.090390;#E57678;
Clos la gaffeliere;Bordeaux;Libournais;Saint Emilion;;2020;11;44.885692;-0.157570;#835D83;Bien
Le Petit Ducru;Bordeaux;Medoc;Saint Julien;;2020;12;45.150769;-0.734378;#997099;
Domaine Dubosc Monplaisir;Sud Ouest;Cote de gascogne;;;2010;2;43.886151;0.240673;#CBEFB6;
Chateau Haut Brion;Bordeaux;Graves;Pessac Leognan;;1994;2;44.817119;-0.607422;#C05746;Bien
Chateau Gruaud Larose;Bordeaux;Medoc;Saint Julien;;1993;2;45.143895;-0.750314;#C05746;
Chateau Figeac;Bordeaux;Libournais;Saint Emilion;;1996;2;44.912684;-0.191922;#C05746;Bien
Chateau Viaut;Bordeaux;Libournais;;;1996;1;44.951858;-0.217366;#C05746;
Chateau Laroche;Bordeaux;Blayais;Côtes de Bourg;;2002;1;45.052579;-0.497672;#651A0E;
Chateau Olivier;Bordeaux;Graves;Pessac Leognan;;2002;1;44.745973;-0.594148;#6E3027;
Mise de la Baronie;Bordeaux;Medoc;Medoc;;2013;1;45.067556;-0.778095;#844238;
Givery Pied de chaume;Bourgogne;;;;2019;7;46.786368;4.725825;#CBEFB6;
Ventoux;Rhone;;Cote du ventoux;;2002;1;44.173973;5.278577;#844238;
Ventoux;Rhone;;Cote du Ventoux;;2000;1;44.183973;5.278577;#ADC698;
Ventoux;Rhone;;Cote du Ventoux;;2001;1;44.163973;5.298577;#38B6FA;
La Ficelle;Loire;;Saint Pourcain;;1989;1;46.305530;3.301151;#E8D5B0;
Villa Mon Reve;;;Minervois la liviniere;;2016;2;43.119995;2.162872;#F7A2A1;
Domaine Schlumberger;Alsace (B);;Riesling;Riesling;2007;1;47.911279;7.205669;#8A95A5;
Seppi Landmann;Alsace (B);;Riesling;Riesling;2000;1;47.958325;7.239647;#B9C6AE;
Rolly Gassmann;Alsace (B);;Riesling;Riesling;2005;1;48.217453;7.359796;#F8B5B4;
Coteaux du layon;Loire (B);Layon;Coteaux du layon;;2017;1;47.297556;-0.575827;#70C1B3;
Tatinger;Champagne;;;;NA;1;49.244623;4.045723;#757083;
Tanneux Mahy Prestige;Champagne;51530;;Chardonnay;NA;6;49.054856;3.927837;#788F66;
Air France;Champagne;;;;NA;4;49.251738;4.026559;#4400FF;
Marie de Bissey;Champagne;;;;NA;1;49.351738;4.046559;#60D394;
Laurent Perrier;Champagne;;;;NA;1;49.050213;4.123169;#FF9B85;
Deutz;Champagne;;;;NA;1;49.051738;4.016559;#FFD97D;
La petite Reine;Champagne;;;;NA;1;49.191738;4.216559;#E92E20;
Bissinger;Champagne;;;;NA;1;49.057672;4.002703;#7FDCA9;
Heidsieck;Champagne;;;;NA;1;49.215006;4.012275;#BFD1E5;
Pomery;Champagne;;;;NA;2;49.244392;4.055419;#D8BFAA;
La grande dame Veuve Cliquot;Champagne;;;;1995;1;49.259170;4.034496;#542344;
Charles Heidsieck;Champagne;;;;2011;1;49.215006;4.042275;#8B9474;
Gimonnet gonot;Champagne;;;;NA;1;48.999040;3.966118;#F5A65B;
Brut Ananas;Tahiti;;;;NA;2;-17.530872;-149.564726;#7DB57D;